City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
336,pokrovskoye,47.4157,38.8971,33.01,86,100,13.0,RU,1613961206
337,ucluelet,48.9329,-125.5528,48.2,93,90,10.36,CA,1613961208
338,abu dhabi,24.4667,54.3667,71.6,88,0,8.05,AE,1613961117
339,ban nahin,18.2418,104.2122,81.0,49,0,2.24,LA,1613961212
340,turbat,26.0023,63.044,64.08,30,0,0.65,PK,1613961214
341,esquipulas,14.5667,-89.35,61.43,91,83,5.97,GT,1613961216
342,tasiilaq,65.6145,-37.6368,32.0,93,90,31.07,GL,1613961218
343,san diego de la union,21.4667,-100.8667,58.53,34,0,1.32,MX,1613961220
344,vanimo,-2.6741,141.3028,85.21,66,80,5.79,PG,1613961222
345,huarmey,-10.0681,-78.1522,70.88,77,90,8.79,PE,1613961225
346,idlib,35.9306,36.6339,30.2,86,0,2.3,SY,1613961227
347,waddan,29.1614,16.139,51.24,51,0,8.19,LY,1613961231
348,xining,36.6167,101.7667,39.76,48,100,1.99,CN,1613961233
349,peniche,39.3558,-9.3811,48.99,88,7,5.7,PT,1613961235
350,mamlyutka,54.9375,68.5394,-25.6,75,0,4.47,KZ,1613961237
351,roald,62.5833,6.1333,44.6,70,80,11.5,NO,1613961239
352,sargodha,32.0836,72.6711,65.03,28,71,2.17,PK,1613961186
353,minbu,20.1833,94.8833,83.97,35,26,4.0,MM,1613961244
354,mehamn,71.0357,27.8492,4.12,92,98,22.35,NO,1613961246
355,bitung,1.4451,125.1824,84.2,74,40,6.91,ID,1613961066
356,port macquarie,-31.4333,152.9167,87.01,52,0,4.0,AU,1613961250
357,jinka,5.65,36.65,63.81,82,90,2.91,ET,1613961254
358,kampong cham,11.9934,105.4635,82.69,52,95,9.13,KH,1613961258
359,mitu,1.1983,-70.1733,73.76,93,98,3.04,CO,1613961261
360,presidencia roque saenz pena,-26.7852,-60.4388,80.01,53,0,1.99,AR,1613961263
361,astana,51.1801,71.446,-9.4,77,75,6.71,KZ,1613961265
362,katherine,-14.4667,132.2667,82.4,83,90,8.05,AU,1613961267
363,inuvik,68.3499,-133.7218,-20.2,76,85,4.61,CA,1613961269
364,atambua,-9.1061,124.8925,81.07,75,87,5.39,ID,1613961271
365,mocuba,-16.8392,36.9856,74.55,94,8,1.59,MZ,1613961273
366,haines junction,60.7522,-137.5108,1.4,85,100,2.3,CA,1613961275
367,constitucion,-35.3333,-72.4167,55.13,86,0,11.61,CL,1613961278
368,pakxan,18.3778,103.6601,81.0,49,0,2.01,LA,1613961194
369,imeni poliny osipenko,52.4201,136.4853,8.1,91,100,2.26,RU,1613961284
370,rundu,-17.9333,19.7667,65.07,93,100,8.48,NA,1613961288
371,fano,43.8204,13.0121,44.01,100,90,1.14,IT,1613961290
372,bandrele,-12.9067,45.1914,78.8,89,0,4.61,YT,1613961292
373,farafangana,-22.8167,47.8333,76.26,91,8,3.15,MG,1613961294
374,laredo,27.5064,-99.5075,68.0,52,1,8.05,US,1613961100
375,pouebo,-20.4,164.5667,85.44,70,97,7.43,NC,1613961301
376,henties bay,-22.116,14.2845,62.01,87,1,3.0,NA,1613961303
377,portland,45.5234,-122.6762,50.0,81,90,18.41,US,1613960935
378,salta,-24.7859,-65.4117,69.8,83,75,3.44,AR,1613961253
379,rio grande,-32.035,-52.0986,71.01,91,0,12.73,BR,1613961309
380,asau,46.4333,26.4,37.0,56,35,4.65,RO,1613961311
381,neiafu,-18.65,-173.9833,84.2,70,75,10.36,TO,1613961314
382,cherskiy,68.75,161.3,-26.63,84,100,6.67,RU,1613961316
383,boca do acre,-8.7522,-67.3978,72.34,97,100,0.94,BR,1613961318
384,lusambo,-4.9667,23.45,70.36,86,100,1.63,CD,1613961320
385,maldonado,-34.6667,-54.9167,73.0,94,0,3.44,UY,1613961322
386,vostok,46.4856,135.8833,16.43,94,100,2.71,RU,1613961326
387,oskarshamn,57.2645,16.4484,32.0,100,90,3.62,SE,1613961330
388,bousse,12.6606,-1.8922,71.6,17,0,4.61,BF,1613961333
389,toamasina,-18.1667,49.3833,75.2,94,75,3.44,MG,1613961335
390,ola,59.5833,151.2833,7.02,83,100,11.52,RU,1613961337
391,cayenne,4.9333,-52.3333,80.6,78,75,5.75,GF,1613961339
392,airai,-8.9266,125.4092,74.62,71,69,3.36,TL,1613961341
393,qatana,33.4354,36.0815,44.01,45,40,11.5,SY,1613961343
394,salisbury,51.0693,-1.7957,46.4,93,75,4.61,GB,1613961302
395,yabrud,33.9674,36.6574,41.0,45,40,11.5,SY,1613961349
396,amparafaravola,-17.5833,48.2167,66.6,93,62,4.9,MG,1613961352
397,lazarev,52.225,141.5131,3.09,90,8,3.49,RU,1613961354
398,diego de almagro,-26.3667,-70.05,55.58,71,0,0.22,CL,1613961091
399,hobyo,5.3505,48.5268,77.77,73,100,17.09,SO,1613961358
400,kilindoni,-7.9139,39.6668,81.23,79,83,6.93,TZ,1613961360
401,xichang,27.8964,102.2634,59.58,41,0,2.28,CN,1613961362
402,aromashevo,56.8602,68.6375,-24.77,86,31,2.77,RU,1613961364
403,mulanje,-16.0316,35.5,70.11,81,100,2.62,MW,1613961366
404,cidreira,-30.1811,-50.2056,75.42,77,1,18.34,BR,1613961369
405,quebec,46.8123,-71.2145,17.6,95,98,4.61,CA,1613961185
406,klaksvik,62.2266,-6.589,44.6,87,90,19.57,FO,1613961373
407,bima,-8.4667,118.7167,86.65,64,100,6.69,ID,1613961375
408,dongsheng,39.8161,109.9776,36.25,72,47,6.04,CN,1613961105
409,kashi,39.4547,75.9797,41.0,48,75,8.95,CN,1613961381
410,abong mbang,3.9833,13.1833,65.73,75,68,1.95,CM,1613961383
411,miraflores,19.2167,-98.8083,68.0,34,20,9.22,MX,1613961386
412,talnakh,69.4865,88.3972,-36.45,81,4,2.35,RU,1613961388
413,puerto narino,-3.7703,-70.3831,77.0,100,40,3.44,CO,1613961390
414,emerald,-23.5333,148.1667,102.2,16,0,8.05,AU,1613961392
415,yangliuqing,39.1375,116.9997,44.6,42,0,4.47,CN,1613961379
416,riihimaki,60.7377,24.7773,24.8,93,75,9.22,FI,1613961398
417,kidal,18.4411,1.4078,66.24,22,0,9.62,ML,1613961400
418,tautira,-17.7333,-149.15,82.4,74,75,5.75,PF,1613961402
419,grand gaube,-20.0064,57.6608,75.99,86,68,5.01,MU,1613961404
